Recorrido	Fecha y hora		Controlar
1	13.08.2021 22:00	Valencia - Getafe	1 : 0
1	14.08.2021 20:30	Cádiz - Levante	1 : 1
1	14.08.2021 20:30	Mallorca - Betis	1 : 1
1	14.08.2021 23:00	Osasuna - Espanyol	0 : 0
1	14.08.2021 23:00	Alavés - Real Madrid	1 : 4
1	15.08.2021 18:30	Celta - Atlético M	1 : 2
1	15.08.2021 21:00	Barcelona - RealSociedad	4 : 2
1	15.08.2021 23:15	Sevilla - Rayo Vallecano	3 : 0
1	16.08.2021 21:00	Villareal - Granada	0 : 0
1	16.08.2021 23:00	Elche – Atlético B	0 : 0
2	20.08.2021 22:00	Betis - Cádiz	1 : 1
2	21.08.2021 18:00	Alavés - Mallorca	0 : 1
2	21.08.2021 20:30	Granada - Valencia	1 : 1
2	21.08.2021 20:30	Espanyol - Villarreal	0 : 0
2	21.08.2021 23:00	Atlético B – Barcelona	1 : 1
2	22.08.2021 18:00	Real Sociedad - Rayo Vallecano	1 : 0
2	22.08.2021 20:30	Atlético M - Elche	1 : 0
2	22.08.2021 23:00	Levante – Real Madrid	3 : 3
2	23.08.2021 21:00	Getafe – Sevilla	0 : 1
2	23.08.2021 23:00	Osasuna - Celta	0 : 0
3	27.08.2021 21:00	Mallorca – Espanyol	1 : 0
3	27.08.2021 23:15	Valencia - Alavés	3 : 0
3	28.08.2021 18:00	Celta - Atlético B	0 : 1
3	28.08.2021 20:30	Real Sociedad - Levante	1 : 0
3	28.08.2021 20:30	Elche – Sevilla	1 : 1
3	28.08.2021 23:00	Betis - Real Madrid	0 : 1
3	29.08.2021 18:00	Barcelona - Getafe	2 : 1
3	29.08.2021 20:30	Cádiz - Osasuna	2 : 3
3	29.08.2021 20:30	Rayo Vallecano - Granada	4 : 0
3	29.08.2021 23:00	Atlético M - Villarreal	2 : 2
4	11.09.2021 19:30	Levante - Rayo Vallecano	1 : 1
4	11.09.2021 22:00	Atlético B - Mallorca	2 : 0
4	12.09.2021 15:00	Espanyol - Atlético M	1 : 2
4	12.09.2021 17:15	Osasuna - Valencia	1 : 4
4	12.09.2021 19:30	Cádiz – Real Sociedad	0 : 2
4	12.09.2021 22:00	Real Madrid - Celta de Vigo	5 : 2
4	13.09.2021 21:00	Getafe - Elche	0 : 1
4	13.09.2021 23:00	Granada - Betis	1 : 2
5	17.09.2021 22:00	Celta - Cádiz	1 : 2
5	18.09.2021 15:00	Rayo Vallecano - Getafe	3 : 0
5	18.09.2021 17:15	Atlético M – Atlético B	0 : 0
5	18.09.2021 19:30	Elche – Levante	1 : 1
5	18.09.2021 22:00	Alavés - Osasuna	0 : 2
5	19.09.2021 15:00	Mallorca - Villarreal	0 : 0
5	19.09.2021 17:15	Real Sociedad - Sevilla	0 : 0
