Equipo	Y	A	H	PAGS	pelotas	O	% puntos	La forma
1	Real Madrid	38	26	8	4	80-31	86	75,4
2	Barcelona	38	21	10	7	68-38	73	64,0
3	Atlético M	38	21	8	9	65-43	71	62,3
4	Sevilla	38	18	16	4	53-30	70	61,4
5	Betis	38	19	8	11	62-40	65	57,0
6	real sociedad	38	17	11	10	40-37	62	54,4
7	Villarreal	38	16	11	11	63-37	59	51,8
8	Atlético B	38	14	13	11	43-36	55	48,2
9	Valencia	38	11	15	12	48-53	48	42,1
10	Osasuna	38	12	11	15	37-51	47	41,2
11	Celta	38	12	10	16	43-43	46	40,4
12	Rayo Vallecano	38	11	9	18	39-50	42	36,8
13	Elche	38	11	9	18	40-52	42	36,8
14	ingles	38	10	12	16	40-53	42	36,8
15	Getafe	38	8	15	15	33-41	39	34,2
16	Mallorca	38	10	9	19	36-63	39	34,2
17	Cádiz	38	8	15	15	35-51	39	34,2
18	Granada	38	8	14	16	44-61	38	33,3
19	Levante	38	8	11	19	51-76	35	30,7
20	Alavés	38	8	7	23	31-65	31	27,2
