Equipo	Y	A	H	PAGS	pelotas	O	% puntos	La forma
1	Real Madrid	19	13	3	3	36-18	42	73,7
2	Barcelona	19	9	8	2	31-19	35	61,4
3	Betis	19	9	6	4	28-18	33	57,9
4	Atlético M	19	9	3	7	32-27	30	52,6
5	Sevilla	19	6	10	3	17-13	28	49,1
6	real sociedad	19	7	6	6	24-28	27	47,4
7	Osasuna	19	7	4	8	20-25	25	43,9
8	Villarreal	19	6	5	8	23-19	23	40,4
9	Valencia	19	5	7	7	22-29	22	38,6
10	Celta	19	5	6	8	17-20	21	36,8
11	Atlético B	19	4	9	6	14-18	21	36,8
12	Cádiz	19	5	6	8	16-27	21	36,8
13	Granada	19	3	7	9	22-32	16	28,1
14	Elche	19	4	3	12	16-31	15	26,3
15	Rayo Vallecano	19	3	4	12	13-28	13	22,8
16	Levante	19	3	4	12	23-46	13	22,8
17	Mallorca	19	3	3	13	16-38	12	21,1
18	Getafe	19	1	8	10	12-26	11	19,3
19	ingles	19	1	6	12	15-34	9	15,8
20	Alavés	19	1	3	15	14-44	6	10,5
